ID,Epic,Title,Description,AcceptanceCriteria,Priority,Estimate,Dependencies,Labels,Status,Sprint
E6-01,E6 Suggestions (Rules) & Quality Gates,Rule-based suggestors v1,"Detectors: severity, step id (`^Step\s?\d+:`), ticket id (`(JIRA|BUG|INC)-\d+`), datetime. Return value, confidence, rationale, spans.",Edge-case tests pass; suggestions persisted under `suggestions.*`.,P0,1d,,backend,To Do,
E6-02,E6 Suggestions (Rules) & Quality Gates,Accept suggestion (single & bulk),PATCH endpoint to copy suggestion → metadata (idempotent); include audit.,"After call, metadata updated; audit created with suggestion id.",P0,0.5d,E6-01,backend,To Do,
E6-03,E6 Suggestions (Rules) & Quality Gates,Curation completeness metric,Compute % chunks meeting required taxonomy fields; per-doc and per-project rollups.,API returns completeness>= thresholds; appears in scorecard.,P0,0.5d,,analytics,To Do,
E6-04,E6 Suggestions (Rules) & Quality Gates,Quality gates (parse + curation),"Mark `needs_review` if empty_ratio or parse_error_ratio exceed thresholds, or completeness < target.",Docs flip status accordingly; thresholds configurable per project.,P0,0.5d,E6-03,backend,To Do,
E7-01,"E7 Observability, Audits & Scorecard",Correlation IDs across services,Propagate request_id doc-wide (ingest→parse→persist); include in logs.,Logs for a doc share the same id across API/worker.,P0,0.5d,,devops,To Do,
E7-02,"E7 Observability, Audits & Scorecard",Audit log table & API,"Append-only audit for metadata edits and exports; filter by doc_id, user, action.",Audit retrieval shows correct entries; CSV export endpoint works.,P0,0.5d,,backend,To Do,
E7-03,"E7 Observability, Audits & Scorecard",Scorecard CLI,"CLI to ingest golden set, run parse, compute coverage & completeness metrics; fail on breach.",`python scripts/scorecard.py` prints metrics and returns non-zero on fail.,P0,0.5d,,qa,To Do,
E8-01,"E8 Golden Set, CI & Demo",Golden Set corpus,Check in PDFs/HTML representative of SOPs and test reports; plus small logs+chat placeholders.,Fixtures available under examples/golden; licenses documented.,P0,0.5d,,"qa,docs",To Do,
E8-02,"E8 Golden Set, CI & Demo",CI pipeline (lint/test/build),"GitHub Actions: lint, unit/e2e tests, build images, cache deps, publish artifacts.",PRs show green checks; artifacts downloadable.,P0,0.5d,,"ci,devops",To Do,
E8-03,"E8 Golden Set, CI & Demo",Demo script & README,Script to run end-to-end demo (ingest→parse→LS tag→export); README with screenshots.,New contributors can demo in <10 minutes locally.,P0,0.5d,,"docs,dx",To Do,
E9-01,"E9 Security, RBAC & Project Settings",RBAC (viewer/curator) per project,Restrict edit endpoints; JWT auth stub acceptable in Phase 1.,Viewer gets 403 on edit; Curator can edit; tests pass.,P0,0.5d,,"security,api",To Do,
E9-02,"E9 Security, RBAC & Project Settings",Project settings: engine toggles & cost guards,"Per-project flags for suggestion engines (rules only now, mini-LLM off by default), max suggestions per doc, timeouts.",Changing settings affects new parses; defaults documented.,P0,0.5d,,"product,backend",To Do,
E9-03,"E9 Security, RBAC & Project Settings",Signed URL policy,All artifact access via time-limited signed URLs; no public buckets.,Direct bucket access removed; expiry respected.,P0,0.5d,,security,To Do,
E10-01,E10 Phase 1.5 Stubs (Deferred),Logs parser (windowing + severity) [DEFERRED],Implement robust log formats and windowing; integrate later.,Marked P2 and out-of-scope for Phase 1 MVP.,P2,1d,,deferred,To Do,
E10-02,E10 Phase 1.5 Stubs (Deferred),"Chat parser (roles, turns) [DEFERRED]",Role attribution for conversations; integrate later.,Marked P2 and out-of-scope for Phase 1 MVP.,P2,0.5d,,deferred,To Do,
E10-03,E10 Phase 1.5 Stubs (Deferred),Table extraction (Camelot/Tabula) [DEFERRED],Extract table CSVs; link via table_ref; integrate later.,Marked P2 and out-of-scope for Phase 1 MVP.,P2,1d,,deferred,To Do,
E10-04,E10 Phase 1.5 Stubs (Deferred),Span/NER editing + spaCy export [DEFERRED],Minimal span editor and spaCy training export; integrate later.,Marked P2 and out-of-scope for Phase 1 MVP.,P2,2d,,deferred,To Do,
E10-05,E10 Phase 1.5 Stubs (Deferred),OCR fallback (Tesseract) [DEFERRED],OCR image-only PDFs/pages; integrate later under flag.,Marked P2 and out-of-scope for Phase 1 MVP.,P2,1d,,deferred,To Do,
